name_norm,display_name,n_books,n_entries,source_types,books,pages
يحيي بن عبد الله,يحيى بن عبد الله,2,5,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص541 | tabaqat_ibnsad:ج7/ص556 | tabaqat_ibnsad:ج8/ص49
ابراهيم بن البرا,إبراهيم بن البراء,2,4,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,mughni_duafa_dhahabi:ج1/ص10
اسحاق بن خالد,إسحاق بن خالد,2,4,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
اسحاق بن عبد الله,إسحاق بن عبد الله,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص312 | tabaqat_ibnsad:ج7/ص494 | tabaqat_ibnsad:ج7/ص523
اسماعيل بن ابراهيم,إسماعيل بن إبراهيم,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص597 | tabaqat_ibnsad:ج8/ص506
الحارث بن قيس,الحارث بن قيس,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص547 | tabaqat_ibnsad:ج3/ص575 | tabaqat_ibnsad:ج8/ص287
حميد بن عبد الرحمن,حميد بن عبد الرحمن,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص152
داود بن سليمان,داود بن سليمان,2,4,general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tarikh_kabir_bukhari,
سعيد بن حريث,سعيد بن حريث,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج5/ص46 | tabaqat_ibnsad:ج6/ص536 | tabaqat_ibnsad:ج8/ص145
سعيد بن عبد الرحمن,سعيد بن عبد الرحمن,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص418 | tabaqat_ibnsad:ج7/ص489 | tabaqat_ibnsad:ج7/ص584
سفيان بن زياد,سفيان بن زياد,2,4,general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج4/ص90
عمر بن صالح,• عمر بن صالح,2,4,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,lisan_mizan_ibnhajar:ج6/ص117 | duafa_uqayli:ج3/ص173
عمرو بن عثمان,عمرو بن عثمان,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج4/ص120 | tabaqat_ibnsad:ج7/ص149 | tabaqat_ibnsad:ج7/ص557
محمد بن ابان,محمد بن أبان,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص507
محمد بن سعد,محمد بن سعد,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص165 | tabaqat_ibnsad:ج8/ص341
محمد بن سليمان,محمد بن سليمان,2,4,general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tarikh_kabir_bukhari,
محمد بن سليم,محمد بن سليم,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص359
